,author_id,username,display_name,author_desc,author_location,followers,following,tweets count,tweet date,tweet_id,tweet_lang,tweet_reply,text,retweet_count,reply_count,like_count,quote_count,in_reply_to_user_id,referenced_tweets,geo,annotations,urls,mentions,hashtags,clean_mentions,clean_annotations,clean_urls,clean_hashtags
20,771943484,noticiaaominuto,Notícias ao Minuto,Notícias ao Minuto - Seja o primeiro a saber.,Portugal,29349,1,539806,2021-12-02 11:40:13+00:00,1466371623620124672,pt,everyone,Compositor norte-americano Alvin Lucier morre aos 90 anos https://t.co/RSossD1NZS #culturaaominuto,0,0,0,0,[],[],[],"[{'start': 27, 'end': 38, 'probability': 0.9353, 'type': 'Person', 'normalized_text': 'Alvin Lucier'}]","[{'start': 58, 'end': 81, 'url': 'https://t.co/RSossD1NZS', 'expanded_url': 'https://www.noticiasaominuto.com/cultura/1885030/compositor-norte-americano-alvin-lucier-morre-aos-90-anos', 'display_url': 'noticiasaominuto.com/cultura/188503…'}]",[],"[{'start': 82, 'end': 98, 'tag': 'culturaaominuto'}]",[],Alvin Lucier,https://www.noticiasaominuto.com/cultura/1885030/compositor-norte-americano-alvin-lucier-morre-aos-90-anos,culturaaominuto
21,1451116902554685440,TechnicalWaqar2,News Caster,"Welcome to News Caster.

News Caster Provide You Informative Videos About Celebrities Who Passed Away.",USA,10,0,1018,2021-12-02 11:30:40+00:00,1466369218425901056,en,everyone,"The Story Composer Alvin Lucier Die? Endless Memory Alvin Lucier https://t.co/o9iximZh4P via @YouTube 

#Died #die #death #causeofdeath #rip #RestInPeace #Composer #Alvin #Lucier #AlvinLucier #End https://t.co/MDi05tSpE6",3,0,3,0,[],[],[],"[{'start': 19, 'end': 34, 'probability': 0.2358, 'type': 'Person', 'normalized_text': 'Alvin Lucier Die'}, {'start': 52, 'end': 63, 'probability': 0.5906, 'type': 'Person', 'normalized_text': 'Alvin Lucier'}]","[{'start': 65, 'end': 88, 'url': 'https://t.co/o9iximZh4P', 'expanded_url': 'https://youtu.be/gBJWGMZ1ygo', 'display_url': 'youtu.be/gBJWGMZ1ygo'}, {'start': 197, 'end': 220, 'url': 'https://t.co/MDi05tSpE6', 'expanded_url': 'https://twitter.com/TechnicalWaqar2/status/1466369218425901058/photo/1', 'display_url': 'pic.twitter.com/MDi05tSpE6'}]","[{'start': 93, 'end': 101, 'username': 'YouTube', 'id': '10228272'}]","[{'start': 104, 'end': 109, 'tag': 'Died'}, {'start': 110, 'end': 114, 'tag': 'die'}, {'start': 115, 'end': 121, 'tag': 'death'}, {'start': 122, 'end': 135, 'tag': 'causeofdeath'}, {'start': 136, 'end': 140, 'tag': 'rip'}, {'start': 141, 'end': 153, 'tag': 'RestInPeace'}, {'start': 154, 'end': 163, 'tag': 'Composer'}, {'start': 164, 'end': 170, 'tag': 'Alvin'}, {'start': 171, 'end': 178, 'tag': 'Lucier'}, {'start': 179, 'end': 191, 'tag': 'AlvinLucier'}, {'start': 192, 'end': 196, 'tag': 'End'}]",YouTube,"Alvin Lucier Die, Alvin Lucier","https://youtu.be/gBJWGMZ1ygo, https://twitter.com/TechnicalWaqar2/status/1466369218425901058/photo/1","Died, die, death, causeofdeath, rip, RestInPeace, Composer, Alvin, Lucier, AlvinLucier, End"
22,1142568459122950144,ghostandjohn,Ghost and John,Multidisciplinary Art Duo,"London, England",586,3963,1962,2021-12-02 11:26:19+00:00,1466368125897748480,und,everyone,RIP #alvinlucier https://t.co/iGT0ukeOfS,0,0,0,0,[],[],[],[],"[{'start': 17, 'end': 40, 'url': 'https://t.co/iGT0ukeOfS', 'expanded_url': 'https://www.theguardian.com/music/2021/dec/01/alvin-lucier-american-avant-garde-composer-dies-aged-90', 'display_url': 'theguardian.com/music/2021/dec…'}]",[],"[{'start': 4, 'end': 16, 'tag': 'alvinlucier'}]",[],[],https://www.theguardian.com/music/2021/dec/01/alvin-lucier-american-avant-garde-composer-dies-aged-90,alvinlucier
32,1382284724014620672,StagePlayerPlus,StagePlayer+,"Streaming a world of arts & culture. Theatre, Concerts, Comedy, Dance, Fringe, Opera and Independent Films all in one app on Fire TV & https://t.co/gxUikrWL27",Elstree,1847,787,12419,2021-12-02 10:59:02+00:00,1466361260816035840,en,everyone,"Alvin Lucier, American avant-garde composer, dies aged 90 https://t.co/56gz6DqUt0 #breakingnews #classicalmusic #stageplayerplus",0,0,0,0,[],[],[],"[{'start': 0, 'end': 11, 'probability': 0.965, 'type': 'Person', 'normalized_text': 'Alvin Lucier'}]","[{'start': 58, 'end': 81, 'url': 'https://t.co/56gz6DqUt0', 'expanded_url': 'http://dlvr.it/SDbwfR', 'display_url': 'dlvr.it/SDbwfR'}]",[],"[{'start': 82, 'end': 95, 'tag': 'breakingnews'}, {'start': 96, 'end': 111, 'tag': 'classicalmusic'}, {'start': 112, 'end': 128, 'tag': 'stageplayerplus'}]",[],Alvin Lucier,http://dlvr.it/SDbwfR,"breakingnews, classicalmusic, stageplayerplus"
33,146557013,chrisunkim,christine sun kim,impt cool,[],7750,697,4721,2021-12-02 10:59:02+00:00,1466361258500886528,en,everyone,"i was at a sound symposium at dartmouth in 2018 and saw alvin lucier's speech. during the Q&amp;A part, some kid asked a really complicated scholarly question with fancy words and alvin replied ""that question is too hard. next question."" #alvinlucier",1,1,34,0,[],[],[],"[{'start': 176, 'end': 180, 'probability': 0.6629, 'type': 'Person', 'normalized_text': 'alvin'}]",[],[],"[{'start': 238, 'end': 250, 'tag': 'alvinlucier'}]",[],alvin,[],alvinlucier
36,27007409,ParliamoDiNews,Parliamo di…,"#notizie #gossip #televisione #misteri #controinformazione
https://t.co/OTQU3mu7WM",Italy,1259,1208,977022,2021-12-02 10:51:28+00:00,1466359354853048320,it,everyone,"**Musica: è morto Alvin Lucier, il compositore di paesaggi sonori** – Libero Quotidiano #**musica #morto #alvin #lucier #compositore #paesaggi #sonori** #libero #quotidiano  https://t.co/fA2Xs078CM",0,0,0,0,[],[],[],[],"[{'start': 174, 'end': 197, 'url': 'https://t.co/fA2Xs078CM', 'expanded_url': 'https://parliamodi.news/article/aHR0cHM6Ly93d3cubGliZXJvcXVvdGlkaWFuby5pdC9uZXdzL2Fkbmtyb25vcy8yOTY1MTgzNC8tbXVzaWNhLWUtbW9ydG8tYWx2aW4tbHVjaWVyLWlsLWNvbXBvc2l0b3JlLWRpLXBhZXNhZ2dpLXNvbm9yaS0uaHRtbA==', 'display_url': 'parliamodi.news/article/aHR0cH…'}]",[],"[{'start': 98, 'end': 104, 'tag': 'morto'}, {'start': 105, 'end': 111, 'tag': 'alvin'}, {'start': 112, 'end': 119, 'tag': 'lucier'}, {'start': 120, 'end': 132, 'tag': 'compositore'}, {'start': 133, 'end': 142, 'tag': 'paesaggi'}, {'start': 143, 'end': 150, 'tag': 'sonori'}, {'start': 153, 'end': 160, 'tag': 'libero'}, {'start': 161, 'end': 172, 'tag': 'quotidiano'}]",[],[],https://parliamodi.news/article/aHR0cHM6Ly93d3cubGliZXJvcXVvdGlkaWFuby5pdC9uZXdzL2Fkbmtyb25vcy8yOTY1MTgzNC8tbXVzaWNhLWUtbW9ydG8tYWx2aW4tbHVjaWVyLWlsLWNvbXBvc2l0b3JlLWRpLXBhZXNhZ2dpLXNvbm9yaS0uaHRtbA==,"morto, alvin, lucier, compositore, paesaggi, sonori, libero, quotidiano"
67,16040029,srfkultur,SRF Kultur,Kultur bereichert das Leben. Und dazu melden wir uns hier zu Wort.,"Basel, Switzerland",22965,617,22156,2021-12-02 09:38:48+00:00,1466341066009894912,de,everyone,Alvin Lucier gilt als Pionier der experimentellen und elektronischen Musik. 1969 schrieb der er mit dem Experiment «I am sitting in a room» Musikgeschichte. #Nachruf https://t.co/WA6h7dV01K,4,1,5,1,[],[],[],[],"[{'start': 166, 'end': 189, 'url': 'https://t.co/WA6h7dV01K', 'expanded_url': 'http://www.srf.ch/kultur/musik/pionier-der-experimentalmusik-der-revolutionaere-avantgarde-komponist-alvin-lucier-ist-gestorben', 'display_url': 'srf.ch/kultur/musik/p…'}]",[],"[{'start': 157, 'end': 165, 'tag': 'Nachruf'}]",[],[],http://www.srf.ch/kultur/musik/pionier-der-experimentalmusik-der-revolutionaere-avantgarde-komponist-alvin-lucier-ist-gestorben,Nachruf
68,3365993229,MmpParis,Médiathèque musicale de Paris,La Médiathèque Musicale de Paris est une bibliothèque publique spécialisée dans la musique sous toutes ses formes et sur tous supports. / #Paris music library,Paris 75001,1970,820,2933,2021-12-02 09:36:41+00:00,1466340536697200640,fr,everyone,"On apprend la mort du compositeur #AlvinLucier dont l’œuvre, entre composition contemporaine et psychoacoustique est consultable entre nos murs.
L'occasion de rappeler le remarquable travail de la bib de l'@Ircam  et son essentielle base de données BRAHMS  https://t.co/raAaEOZTo2 https://t.co/7mQcQ3mE49",4,0,12,0,[],[],[],[],"[{'start': 257, 'end': 280, 'url': 'https://t.co/raAaEOZTo2', 'expanded_url': 'http://brahms.ircam.fr/alvin-lucier', 'display_url': 'brahms.ircam.fr/alvin-lucier'}, {'start': 281, 'end': 304, 'url': 'https://t.co/7mQcQ3mE49', 'expanded_url': 'https://twitter.com/MmpParis/status/1466340536697200646/photo/1', 'display_url': 'pic.twitter.com/7mQcQ3mE49'}, {'start': 281, 'end': 304, 'url': 'https://t.co/7mQcQ3mE49', 'expanded_url': 'https://twitter.com/MmpParis/status/1466340536697200646/photo/1', 'display_url': 'pic.twitter.com/7mQcQ3mE49'}]","[{'start': 206, 'end': 212, 'username': 'Ircam', 'id': '92713062'}]","[{'start': 34, 'end': 46, 'tag': 'AlvinLucier'}]",Ircam,[],"http://brahms.ircam.fr/alvin-lucier, https://twitter.com/MmpParis/status/1466340536697200646/photo/1, https://twitter.com/MmpParis/status/1466340536697200646/photo/1",AlvinLucier
89,17864677,dalehauskins,Dale Hauskins,"ᑕᗩᒪIᖴOᖇᑎIᗩᑎ proɢFυѕιoɴReɢɢae GᑌITᗩᖇIST.ᒪᕮᗷTᕮ Iᑎ ᗪᕮᖇ SᑕᕼᗯᕮIᘔ.ᑎOT ᗰᗩᖇᖇIᕮᗪ,yet ᗷOᖇᑎ ᗩᑌGᑌST 26 ᑕᗩᗰᑭ ᑭᕮᑎᗪᒪᕮTOᑎ OᑕᕮᗩᑎSIᗪᕮ.OᑎᒪY ᑕᕼIᒪᗪ.ᖇᗩISᕮᗪ Iᑎ ᑭIᑕO ᖇIᐯᕮᖇᗩ,ᒪOS ᗩᑎGᕮᒪᕮS",Southern California U.S.A.,1326,370,22020,2021-12-02 08:54:40+00:00,1466329959144706048,en,everyone,"@primarily_prog Rest in God’s forever peace American composer of experimental music, and music professor at Wesleyan University #AlvinLucier. https://t.co/HfUMcENlHG https://t.co/xxfF9vaprt",0,0,0,0,1.1569551805602775e+18,"[{'type': 'replied_to', 'id': '1466324998419791876', 'text': 'Now playing … https://t.co/xmyshR6K8v', 'reply_settings': 'everyone', 'lang': 'en', 'created_at': '2021-12-02T08:34:57.000Z', 'public_metrics': {'retweet_count': 2, 'reply_count': 16, 'like_count': 113, 'quote_count': 0}, 'entities': {'urls': [{'start': 14, 'end': 37, 'url': 'https://t.co/xmyshR6K8v', 'expanded_url': 'https://twitter.com/primarily_prog/status/1466324998419791876/photo/1', 'display_url': 'pic.twitter.com/xmyshR6K8v'}]}, 'author_id': '1156955180560277504'}]","{'full_name': 'San Clemente, CA', 'id': '97467526c304c5db'}","[{'start': 24, 'end': 26, 'probability': 0.9048, 'type': 'Other', 'normalized_text': 'God'}, {'start': 108, 'end': 126, 'probability': 0.5245000000000001, 'type': 'Organization', 'normalized_text': 'Wesleyan University'}]","[{'start': 142, 'end': 165, 'url': 'https://t.co/HfUMcENlHG', 'expanded_url': 'http://alucier.web.wesleyan.edu/', 'display_url': 'alucier.web.wesleyan.edu'}, {'start': 166, 'end': 189, 'url': 'https://t.co/xxfF9vaprt', 'expanded_url': 'https://www.npr.org/2021/12/01/1060591230/alvin-lucier-inquisitive-and-innovative-composer-has-died-at-90', 'display_url': 'npr.org/2021/12/01/106…'}]","[{'start': 0, 'end': 15, 'username': 'primarily_prog', 'id': '1156955180560277504'}]","[{'start': 128, 'end': 140, 'tag': 'AlvinLucier'}]",primarily_prog,"God, Wesleyan University","http://alucier.web.wesleyan.edu/, https://www.npr.org/2021/12/01/1060591230/alvin-lucier-inquisitive-and-innovative-composer-has-died-at-90",AlvinLucier
104,112620199,tsurutak,tsurutaK ௵ 憑琉陀ケ,"Keiichi Tsuruta ☬ Director フリーで映像のしごとしてます | Horror Movie, Noise Music & Idol ♡ | DOMMUNE『現代ノイズ進化論 』セミレギュラー | DJ 憑琉陀ケ（つるたけ）| なまらわなはめ | 蔓竹",超白猫座（概念）,2362,4993,59178,2021-12-02 08:32:47+00:00,1466324454267826176,en,everyone,"♪ Album ""Bird and Person Dyning"" by ""Alvin Lucier"" #nowplaying https://t.co/CLUe30EufG",0,0,2,0,[],[],[],"[{'start': 9, 'end': 30, 'probability': 0.8393, 'type': 'Other', 'normalized_text': 'Bird and Person Dyning'}, {'start': 37, 'end': 48, 'probability': 0.9568000000000001, 'type': 'Person', 'normalized_text': 'Alvin Lucier'}]","[{'start': 63, 'end': 86, 'url': 'https://t.co/CLUe30EufG', 'expanded_url': 'https://twitter.com/tsurutak/status/1466324454267826177/photo/1', 'display_url': 'pic.twitter.com/CLUe30EufG'}]",[],"[{'start': 51, 'end': 62, 'tag': 'nowplaying'}]",[],"Bird and Person Dyning, Alvin Lucier",https://twitter.com/tsurutak/status/1466324454267826177/photo/1,nowplaying
