,author_id,username,display_name,author_desc,author_location,followers,following,tweets count,tweet date,tweet_id,tweet_lang,tweet_reply,text,retweet_count,reply_count,like_count,quote_count,in_reply_to_user_id,referenced_tweets,geo,annotations,urls,mentions,hashtags
0,1148983770302861312,eatstreetfood,Tamara Palmer,Writer/editor/publisher/DJ,San Francisco,3003,874,10357,2021-08-09 23:56:25+00:00,1424882288991555584,en,everyone,"""Kelli Hand, Detroit D.J. and Music Industry Trailblazer, Dies at 56"" by BY JOHNNY DIAZ via NYT New York Times https://t.co/7Hv8wo6EYP",0,1,11,0,,,,"[{'start': 45, 'end': 54, 'probability': 0.34, 'type': 'Person', 'normalized_text': 'Kelli Hand'}, {'start': 58, 'end': 69, 'probability': 0.9863000000000001, 'type': 'Person', 'normalized_text': 'Paul Johnson'}, {'start': 77, 'end': 88, 'probability': 0.5421, 'type': 'Organization', 'normalized_text': 'URB Magazine'}, {'start': 216, 'end': 222, 'probability': 0.9896, 'type': 'Place', 'normalized_text': 'Detroit'}, {'start': 228, 'end': 234, 'probability': 0.9458000000000001, 'type': 'Place', 'normalized_text': 'Chicago'}]",,,
1,1040080514,drgauravluthra,Dr Gaurav Luthra,"ISurgeon @DrishtiEyeInst I Chair Academics, IIRSI | Love 🎾 🎵 ✈️ 📷 | Healthcare | India | World Affairs","Dehradun, India",1202,876,4823,2021-08-09 23:55:56+00:00,1424882167096688640,en,everyone,"""Kelli Hand, Detroit D.J. and Music Industry Trailblazer, Dies at 56"" by Johnny Diaz via NYT https://t.co/78VopS64tS",0,0,4,0,,,,"[{'start': 0, 'end': 5, 'probability': 0.451, 'type': 'Place', 'normalized_text': 'Centre'}, {'start': 53, 'end': 53, 'probability': 0.7062, 'type': 'Place', 'normalized_text': 'U'}, {'start': 62, 'end': 71, 'probability': 0.3835, 'type': 'Place', 'normalized_text': 'Doon-Delhi'}, {'start': 119, 'end': 129, 'probability': 0.7451, 'type': 'Place', 'normalized_text': 'Uttarakhand'}]","[{'start': 133, 'end': 156, 'url': 'https://t.co/5MfX7oKKVY', 'expanded_url': 'https://timesofindia.indiatimes.com/city/dehradun/centre-approves-rs-615-crore-for-42-road-projects-in-ukhand-doon-delhi-elevated-road-project-to-start-soon/articleshow/85110375.cms', 'display_url': 'timesofindia.indiatimes.com/city/dehradun/…'}]",,
2,2416885579,drgauravluthra,Dr Gaurav Luthra,"ISurgeon @DrishtiEyeInst I Chair Academics, IIRSI | Love 🎾 🎵 ✈️ 📷 | Healthcare | India | World Affairs","Dehradun, India",1202,876,4823,2021-08-04 04:52:04+00:00,1422782364183371776,en,everyone,RisingNepal: Home Minster Khand and Chief Minister Raut meet - https://t.co/GvugrfMUKg,0,0,4,0,,,,"[{'start': 0, 'end': 5, 'probability': 0.451, 'type': 'Place', 'normalized_text': 'Centre'}, {'start': 53, 'end': 53, 'probability': 0.7062, 'type': 'Place', 'normalized_text': 'U'}, {'start': 62, 'end': 71, 'probability': 0.3835, 'type': 'Place', 'normalized_text': 'Doon-Delhi'}, {'start': 119, 'end': 129, 'probability': 0.7451, 'type': 'Place', 'normalized_text': 'Uttarakhand'}]","[{'start': 133, 'end': 156, 'url': 'https://t.co/5MfX7oKKVY', 'expanded_url': 'https://timesofindia.indiatimes.com/city/dehradun/centre-approves-rs-615-crore-for-42-road-projects-in-ukhand-doon-delhi-elevated-road-project-to-start-soon/articleshow/85110375.cms', 'display_url': 'timesofindia.indiatimes.com/city/dehradun/…'}]",,
3,24984509,NatxSoul,$oulo the Virgo ♍️,your local hood angel 👼🏾 | music makes me lose control | RIP Malcolm,Earth ,1454,509,110606,2021-08-09 23:51:24+00:00,1424881028381003776,en,everyone,"""Kelli Hand, Detroit D.J. and Music Industry Trailblazer, Dies at 56"" by Johnny Diaz via NYT https://t.co/WD7SXlPA2h",0,0,0,0,,,,,,,
4,264501891,Charley58115169,MrCharley,#BlackHistory #News @BLM #Birthdays #ADOS,,627,2377,107394,2021-08-04 04:39:07+00:00,1422779106664456192,en,everyone,"...r.i.p  K-HAND....

『You And Me』from the album 『SOUL』(1997)

https://t.co/jEQ5E4184q",0,0,1,0,,,,"[{'start': 25, 'end': 34, 'probability': 0.4848, 'type': 'Other', 'normalized_text': 'Kelli Hand'}, {'start': 62, 'end': 67, 'probability': 0.639, 'type': 'Person', 'normalized_text': 'K-Hand'}]","[{'start': 90, 'end': 113, 'url': 'https://t.co/SFBKr8Rif4', 'expanded_url': 'https://share.smartnews.com/pEZz4', 'display_url': 'share.smartnews.com/pEZz4', 'status': 200, 'unwound_url': 'https://www.theguardian.com/music/2021/aug/04/kelli-hand-aka-dance-music-producer-k-hand-dies-aged-56'}, {'start': 148, 'end': 171, 'url': 'https://t.co/VlIzkL0n1E', 'expanded_url': 'https://share.smartnews.com/Dd7Db', 'display_url': 'share.smartnews.com/Dd7Db'}]",,
5,807095,TopStoryy,Top Story,Top Story is a leading English Newspaper of Delhi-NCR and Uttar Pradesh.,"New Delhi, India",44,287,26846,2021-08-09 23:40:02+00:00,1424878167408447488,en,everyone,"Kelli Hand, a longtime DJ known as K-Hand who was named the ""first lady of Detroit"" for her contributions to the techno music scene, was found dead on Aug. 3 at her home in Detroit. She was 56. https://t.co/kVoRBUfyXZ",12,1,31,3,,,,,"[{'start': 60, 'end': 83, 'url': 'https://t.co/F4yJ0y4ASw', 'expanded_url': 'https://www.topstory.online/naye-khand-shiksha-adhikari-ka-prathmik-shikshak-sangh-ne-kiya-swagat/', 'display_url': 'topstory.online/naye-khand-shi…'}]",,
6,1206917750527913984,TopStoryy,Top Story,Top Story is a leading English Newspaper of Delhi-NCR and Uttar Pradesh.,"New Delhi, India",44,287,26846,2021-08-04 04:27:20+00:00,1422776139668361216,in,everyone,"@choiyewohn sUkEtA kHaNd nNyIe,,😭",12,1,31,3,323366732.0,"[{'type': 'replied_to', 'id': '1422771785028628480'}]",,,"[{'start': 60, 'end': 83, 'url': 'https://t.co/F4yJ0y4ASw', 'expanded_url': 'https://www.topstory.online/naye-khand-shiksha-adhikari-ka-prathmik-shikshak-sangh-ne-kiya-swagat/', 'display_url': 'topstory.online/naye-khand-shi…'}]",,
7,1385650235129610240,mygabx,Gab,,,23,6,198481,2021-08-09 23:36:24+00:00,1424877251028561920,en,everyone,"""Kelli Hand, Detroit D.J. and Music Industry Trailblazer, Dies at 56"" by BY JOHNNY DIAZ via NYT https://t.co/pY0pMisnQu",0,0,2,0,,,,"[{'start': 0, 'end': 6, 'probability': 0.3906, 'type': 'Place', 'normalized_text': 'Detroit'}, {'start': 11, 'end': 15, 'probability': 0.6532, 'type': 'Person', 'normalized_text': 'Kelli'}]","[{'start': 56, 'end': 79, 'url': 'https://t.co/JD37BD6E9U', 'expanded_url': 'https://www.wikio.org/ne/wiki/detroit-dj-kelli-hand-passed-away-how-did-k-hand-died-600713?utm_source=dlvr.it&utm_medium=twitter', 'display_url': 'wikio.org/ne/wiki/detroi…'}]",,
8,316919576,mygabx,Gab,,,23,6,198481,2021-08-04 04:07:28+00:00,1422771141907652608,ro,everyone,HS (Haemorrhagic septicaemia) VACCINATION DONE IN GOASHRAY STHAL BHAMROLA VIKASH KHAND KHAIR ALIGARHbhamrola https://t.co/LeCBl7OTfJ,0,0,2,0,,,"{'full_name': 'Khair, India', 'id': '1640596a4d56356d'}","[{'start': 0, 'end': 6, 'probability': 0.3906, 'type': 'Place', 'normalized_text': 'Detroit'}, {'start': 11, 'end': 15, 'probability': 0.6532, 'type': 'Person', 'normalized_text': 'Kelli'}]","[{'start': 56, 'end': 79, 'url': 'https://t.co/JD37BD6E9U', 'expanded_url': 'https://www.wikio.org/ne/wiki/detroit-dj-kelli-hand-passed-away-how-did-k-hand-died-600713?utm_source=dlvr.it&utm_medium=twitter', 'display_url': 'wikio.org/ne/wiki/detroi…'}]",,
9,976047137652903936,audiotecna,Audiotecna,"Distribuidor de Dubreq, Ableton, Ortofon, Teenage Engineering, Koma Elektronik, Push Turn Move, Livid Instruments y Moog Music en Colombia. WA 3142282777",Bogotá,908,1873,5350,2021-08-04 03:55:17+00:00,1422768077041586176,en,everyone,"@UPGovt Hamare vikash khand CHILKAHAR me vaccinations slow hai 
BALLIA UP",0,0,0,0,2588841246.0,"[{'type': 'replied_to', 'id': '1422761375856615426', 'entities': {'urls': [{'start': 150, 'end': 173, 'url': 'https://t.co/3ZFlV29dX6', 'expanded_url': 'https://twitter.com/UPGovt/status/1422761375856615426/photo/1', 'display_url': 'pic.twitter.com/3ZFlV29dX6'}]}, 'reply_settings': 'everyone', 'lang': 'hi', 'text': 'वैक्सीनेशन में उत्तर प्रदेश ने बनाया नया रिकॉर्ड \n\nएक दिन में दी गईं वैक्सीन की 27.35 लाख डोज\n\n05 करोड़ से अधिक डोज देकर उत्तर प्रदेश, देश में अग्रणी https://t.co/3ZFlV29dX6', 'author_id': '2588841246', 'created_at': '2021-08-04T03:28:40.000Z', 'public_metrics': {'retweet_count': 115, 'reply_count': 37, 'like_count': 640, 'quote_count': 6}}]",,"[{'start': 52, 'end': 61, 'probability': 0.719, 'type': 'Person', 'normalized_text': 'Kelli Hand'}, {'start': 110, 'end': 134, 'probability': 0.8865000000000001, 'type': 'Other', 'normalized_text': 'The First Lady of Detroit'}, {'start': 158, 'end': 165, 'probability': 0.6225, 'type': 'Person', 'normalized_text': 'Acacia'}, {'start': 168, 'end': 179, 'probability': 0.9819, 'type': 'Person', 'normalized_text': 'Paul Johnson'}, {'start': 213, 'end': 224, 'probability': 0.742, 'type': 'Other', 'normalized_text': 'Get Get Down'}]","[{'start': 259, 'end': 282, 'url': 'https://t.co/2cmBHpKwq6', 'expanded_url': 'https://twitter.com/sarrawild/status/1423020813909995524', 'display_url': 'twitter.com/sarrawild/stat…'}]",,
