Id,Label,timeset,attr_type,global_occurrences,attr_2,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_21,attr_22,attr_23,attr_24,attr_25,attr_26,attr_27,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,isperiphery,iscenter,Cluter-ID,Cluster,modularity_class,stat_inf_class,clustering,eigencentrality
username_6c566dceda6763ddfb9fa0cf12dd7420,004nino,,username,1,2499735536,Jean Lebrun,"Retraité.Égalité,fraternité,justice,liberté,nationaliste, Aka Giovanni  Bruno  Aka  Giovanni  Wolfmann  Bruno contre le virus de la  corruption  ,les injustices","Québec, Canada",6060,6658,251883,1466139657301864448,1466139657301864448,en,2021-12-01 20:18:28+00:00,"RIP  25 036)  #American  #Alvin #Lucier , #Probing #Composer #of #Soundscapes , Is #Dead #December  1, 2021  at 91 https://t.co/FJPPQ6l4G6",0,0,0,0,[],[],[],[],https://www.nytimes.com/2021/12/01/arts/music/alvin-lucier-dead.html?smid=tw-share,"American, Alvin, Lucier, Probing, Composer, of, Soundscapes, Dead, December",[],[],[],0,0,0,0,0,0,-1,0,0,0,0,0,0.000155,0,0,false,false,0,231,0,0,0,0
username_df5ceb61e809da52b23ec22a64086885,1003yamato,,username,2,1183144131465342976,Yamato_1003☯,好きな音楽とか書籍とかゲーム等を勝手気ままに呟いてます。  ※アダルト系コンテンツからのFFはお断りしています、フォローされてもブロックしますので悪しからず※,武蔵国入間郡　小江戸,458,447,4615,1467301407808450560,1467301407808450560,ja,2021-12-05 01:14:51+00:00,"#RIP #AlvinLucier TLで知ったAlvin Lucierの訃報..... https://t.co/5BmbUvj4qt",0,0,14,0,[],[],[],Alvin Lucier,https://twitter.com/1003Yamato/status/1388058651974193153,"RIP, AlvinLucier",1388058651974193153,1183144131465342976,quoted,0,0,0,0,0,0,-1,0,0,0,0,0,0.000155,1,1,false,false,1,232,1,1,0,0
username_45092abb3d04987191c73750f628d81a,1007mountaindr,,username,1,342279057,liam,"to the extent that i wear skirts and cheap nylon slips, i've gone native | he/him",nyc/ohio,334,359,58356,1466100397911773184,1466100397911773184,en,2021-12-01 17:42:28+00:00,"RT @Cafeoto: RIP to the incredible Alvin Lucier. An artist who we were never able to welcome to perform at OTO, but whose work was performe…",137,0,0,0,[],[],Cafeoto,Alvin Lucier,[],[],1466093937500827659,106808100,retweeted,0,1,1,0,1,1,9,1,1,0,0,0.006641,0.000155,2,3,false,false,948,3,466,399,0,0
username_b8424a71f0c7ca730ffc3aa5d190aa39,10178berlin,,username,7,30667463,10178berlin,,BERLIN,409,776,87741,1466400875220553728 | 1466472232151044096 | 1466479311536467968 | 1466839905229807616 | 1467200838137491456,1466400875220553728 | 1466472232151044096 | 1466479311536467968 | 1466839905229807616 | 1467200838137491456,de | zxx,2021-12-02 13:36:27+00:00 | 2021-12-02 18:20:00+00:00 | 2021-12-02 18:48:08+00:00 | 2021-12-03 18:41:00+00:00 | 2021-12-04 18:35:13+00:00,"Der Klangforscher und Komponist Alvin Lucier ist tot: Der mit den Hirnwellen spielte https://t.co/iMdird8CFR | Zum Tod von Alvin Lucier - Klangforscher, Konzeptionalist, Experimentalkünstler https://t.co/JcBLSwgvnf | Zum Tod von Alvin Lucier, Alchemist der Echos und Resonanzen #srf https://t.co/7YEExRMibP | https://t.co/GBJRKFlGej | https://t.co/NAl34KjsV5",0,0,0,0,[],[],[],[],https://oe1.orf.at/programm/20211203/662348/In-memoriam-Alvin-Lucier | https://www.br-klassik.de/s/5NSFDNP | https://www.byte.fm/blog/news/avantgarde-komponist-alvin-lucier-ist-tot-118104/ | https://www.deutschlandfunkkultur.de/zum-tod-des-avantgarde-komponisten-alvin-lucier-dlf-kultur-cece6281-100.html | https://www.srf.ch/audio/musik-unserer-zeit/zum-tod-von-alvin-lucier-alchemist-der-echos-und-resonanzen?id=12100712&ns_source=mobile&srg_sm_medium=tw,[] | srf,[],[],[],0,0,0,0,0,0,-1,0,0,0,0,0,0.000155,3,4,false,false,3,233,2,2,0,0
username_459f1e7464ec16a8c0a47225f7f605ae,10_dollar_bill_,,username,1,1028976213132566528,10$ Dollar Bill,"so what ? Sporting clube de Portugal, St.Pauli, iOS musician, singer, @solar_junkies, noisemaker and sometimes sales manager",Portugal,414,1159,3821,1466380338838577152,1466380338838577152,en,2021-12-02 12:14:51+00:00,RT @PhilipSherburne: A wonderful Alvin Lucier interview by @olsonpower in @artnews (h/t @JWilliger). What a spirit! What an inspiration he…,13,0,0,0,[],[],"PhilipSherburne, olsonpower, artnews, JWilliger",Alvin Lucier,[],[],1466351066577047552,397498830,retweeted,0,4,4,0,4,4,11,0.636364,0.761905,0,0,0.003845,0.000155,2,9,false,false,948,5,461,902,0.583333,0
username_900ec84a537a0a933fdc4d8c502a41ad,10coisunyanta,,username,1,337720807,Ryo.M,レコード泉✨(沼)民/レコ掘り師(非コレクター)/Queen:映画など、今の活動には批判的。'14サマソニは素晴らしかったが…やはり4人のQueenですね✨/中度HSP/母の看護/ﾈｺﾁｬﾝ…/ぷよぷよ/尾崎豊は原点/雑多垢/(以下を熟読の上、苦情は🙅)/RT魔/いいね魔/コミュ障/無視と匂わせは地雷💥,東京都レコ泉✨(沼)区,3435,2923,1086582,1466250164184633344,1466250164184633344,ja,2021-12-02 03:37:35+00:00,RT @amass_jp: 実験音楽を代表する音楽家アルヴィン・ルシエ（Alvin Lucier）が死去。90歳でした。実験音楽やサウンド・パフォーマンスといった未聞の概念の形成に貢献したその作品群は、音楽という枠を超えて、人と環境の関わりを探求する新しい芸術として高く評価され…,48,0,0,0,[],[],amass_jp,Alvin Lucier,[],[],1466240183834390533,229188693,retweeted,0,1,1,0,1,1,11,1,1,0,0,0.000041,0.000155,2,11,false,false,948,17,73,112,0,0
username_a59ebcda4e807a58b8997559e7d94b10,10gotoperkins,,username,1,823527255708200960,perkins,I've been walking the streets at night ... Just trying to get it right,"Nashville, TN",119,181,4869,1466121087234703360,1466121087234703360,en,2021-12-01 19:04:41+00:00,RT @geetadayal: RIP Alvin Lucier. An absolute legend of music! Here’s a long piece I wrote about him a while back. He was always generous w…,42,0,0,0,[],[],geetadayal,Alvin Lucier,[],[],1466118320730431492,16932590,retweeted,0,1,1,0,1,1,11,1,1,0,0,0.004003,0.000155,2,13,false,false,948,4,333,727,0,0
username_fa3e184049749d7907f334d3a29889a4,112ll,,username,2,566895700,ネバタ112,RTのみです,[],495,2207,36137,1467377884717514752,1467377884717514752,ja,2021-12-05 06:18:44+00:00,RT @canD_chewZ: 先日亡くなられた実験音楽の大巨人Alvin Lucierの1976年作 「BIRD AND PERSON DYNING」 と 東京都立町田高校の1983年作 「第17回 合唱祭」 https://t.co/m4fXQyOT7k,20,0,0,0,[],[],canD_chewZ,"Alvin Lucier, BIRD AND PERSON DYNING, 東京都立町田高校, 第17回 合唱祭","https://twitter.com/canD_chewZ/status/1467375093307539459/photo/1, https://twitter.com/canD_chewZ/status/1467375093307539459/photo/1",[],1467375093307539459,621190058,retweeted,0,1,1,0,1,1,11,1,1,0,0,0.000026,0.000155,2,15,false,false,948,34,401,399,0,0
username_5f91a29d3211d4fbcf8a186e646faf4c,112peet358,,username,2,1308087216443256832,Peet,"Learning how to ask better questions.  #BurningMan, #Caltech, #CalArts, #BlackSwan",[],101,210,5516,1466119414651101184 | 1466119498566492160,1466119414651101184 | 1466119498566492160,en | es,2021-12-01 18:58:02+00:00 | 2021-12-01 18:58:22+00:00,"RT @Cafeoto: RIP to the incredible Alvin Lucier. An artist who we were never able to welcome to perform at OTO, but whose work was performe… | RT @TimPageWriter: Alvin Lucier -- 1931-2021.     A master.     https://t.co/0eh1qbdMmw",137 | 4,0,0,0,[],[],Cafeoto | TimPageWriter,Alvin Lucier,[] | https://www.youtube.com/watch?v=fAxHlLK3Oyk,[],1466093937500827659 | 1466095607462993934,106808100 | 749726391751544834,retweeted,0,2,2,0,2,2,9,1,1,0,0,0.007143,0.000155,2,17,false,false,948,54,850,63,0,0
username_6f028d21bff716614cc0334412762068,113_collective,,username,1,4889319335,Joshua Musikantow,"Experimental microtonal composer based in the Twin Cities. Member of 113. Tweeting about New Music here, & about other things here: @JoshuaMusikanto","Minnesota, USA",2474,1655,3499,1466146685252521984,1466146685252521984,zxx,2021-12-01 20:46:24+00:00,https://t.co/DsvOPe9Ijd,2,0,9,1,[],[],[],[],https://www.nytimes.com/2021/12/01/arts/music/alvin-lucier-dead.html,[],[],[],[],2,0,2,2,0,2,12,0,0,0,0.00001,0,0.000375,2,18,false,false,948,30,281,513,0,0.008659
