author id,username,created_at,lang,like_count,quote_count,reply_count,retweet_count,source,tweet,hashtags
135155476,DamonMercy,2021-11-07 23:42:42+00:00,en,1,0,0,0,Twitter Web App,Tributes paid to 'pioneer' 808 State bassist Andrew Barker who has died aged 53 https://t.co/tZLyQa7Alm, 
19926655,letitbeep,2021-11-07 23:32:01+00:00,en,23,2,0,3,Twitter for Android,"Andrew Barker, thank you for the music

For so much music: 30 years of 808 State. Atlas, Kompressor, and Benaco.

""We are the music makers, and we are the dreamers of dreams."" https://t.co/NidODhXjM7", 
2567043800,justgotloud,2021-11-07 23:21:04+00:00,en,0,0,0,0,dlvr.it,808 State’s Andrew Barker has Passed Away https://t.co/avYV4xcFCn, 
1.18657E+18,KatySkylab,2021-11-07 23:19:18+00:00,en,10,0,1,0,Twitter for Android,"Peace in your passing #AndrewBarker #808State 🖤 Such a loss with so much more to give Manchester &amp; the music scene. You oozed pioneer &amp; personality in all you gave to #AcidHouse. xx

https://t.co/CRrdl4BfVM",AcidHouse
62527316,achordchange,2021-11-07 23:17:25+00:00,da,1,0,0,0,Twitter for iPad,RIP Andrew Barker - 808 State .. 🙏🏼❤️  Europa https://t.co/F2yKTREqlL via @YouTube, 
144796075,PhilipSmith72,2021-11-07 23:17:21+00:00,en,1,0,0,0,Twitter for iPhone,RIP Andrew Barker #808state,808state
1.26017E+18,starchild20202,2021-11-07 23:16:07+00:00,en,3,0,1,1,Twitter for iPhone,"#suddendeaths2021

Andrew Barker dead aged 53: 808 State bassist &amp; keyboardist dies as fans thank him for the ‘joy he brought with music’ https://t.co/cpVO2U1G04",suddendeaths2021
2197290196,tv100,2021-11-07 23:15:00+00:00,tr,1,0,0,0,TweetDeck,"Ünlü müzisyen hayatını kaybetti 
https://t.co/gH2Vse0XyQ", 
8.67401E+17,RyderDesignS8,2021-11-07 23:10:59+00:00,en,4,0,1,0,Twitter for iPhone,"Only just heard the news of Andrew Barker (808 State) passing away. They were the reason I went to my first rave in ‘91. My raving years were some of the best years of my life.

Sad day. RIP.
#808state",808state
4876280543,Juanslugor,2021-11-07 23:07:03+00:00,en,2,0,0,0,Twitter Web App,"Thank you for the tunes &lt;3. Go to your pacific state.

https://t.co/OYzfrUA0RQ", 
1.35801E+18,24Trends_UK,2021-11-07 23:06:36+00:00,en,0,0,1,0,custom-twitter-bot,"19. 808 State

📊 Detailed Stats: https://t.co/FbrYFSBkqX
📰 News Related:
Manchester Evening News: Tributes paid to 'pioneer' 808 State bassist Andrew Barker who has ...
https://t.co/JWoGAyca22", 
7.16706E+17,radiodead247,2021-11-07 22:57:07+00:00,en,1,0,0,0,Twitter for iPhone,Andrew Barker - 808 State bassist and keyboard player has died aged 53., 
101259512,suzushiroz,2021-11-07 22:50:53+00:00,ja,1,0,0,0,Twitter for Android,808 stateのAndrew Barkerが亡くなった, 
94783023,teeecup620,2021-11-07 22:45:46+00:00,ja,6,0,0,1,Twitter for Android,"808 StateのAndrew BarkerとUB40のAstroが亡くなったそうなので今朝は両グループのコラボ名義で808 StateがリリースしたUB40の""One In Ten""、リアルタイムで聴いてたミュージシャンの訃報はなんだか身につまされるね。R.I.P.
 #NowPlaying
One In Ten / 808 State vs. UB40
https://t.co/LDp3ZAYqT7",NowPlaying
23216026,Jan_208,2021-11-07 22:44:54+00:00,en,5,0,0,0,Twitter for Android,"It took me 30 years to find out that the bird sound on this amazing tune, is the North American Loon bird. R.I.P. to 808er Andrew Barker, who has died aged just 53. Fly high, as they say...

808 state - Pacific 707

https://t.co/jJB2GNzCx5", 
171584247,voiddj,2021-11-07 22:44:02+00:00,en,0,0,0,0,Twitter Web App,808 State’s Andrew Barker has died https://t.co/ZFl1DRmfOZ via @NME #RIP,RIP
1239726272,AutumnClouds,2021-11-07 22:43:01+00:00,en,4,0,0,1,Twitter for Android,RIP Andrew Barker from legendary electronic project 808 State. https://t.co/jrK6Mf60DW, 
19940362,robbooth,2021-11-07 22:42:20+00:00,en,8,0,0,0,Twitter for Android,Rest in peace Andrew Barker https://t.co/kVJbcGeDku, 
202380552,BrixtonHatter,2021-11-07 22:41:10+00:00,en,8,0,0,6,Twitter for iPhone,"RIP to Andrew Barker from 808 State and Astro from UB40, very sad to lose both on the same day, both stalwarts of the music scene.

In 1992, 808 State remixed UB40’s 1981 hit “One in Ten” about massive unemployment in the early 80s.
https://t.co/CNWRySMRUx", 
