author id,username,created_at,lang,like_count,quote_count,reply_count,retweet_count,source,tweet,hashtags
2488724881,Harmony_Holiday,2022-01-10 23:59:24+00:00,en,179,6,6,49,Twitter Web App,Mtume on Miles and the 'quicksand of stagnation' he resisted. https://t.co/T0zYqly3ey, 
1045466205329543168,JayKilgore7,2022-01-10 23:58:50+00:00,en,2,0,0,0,Twitter Web App,"GA Voting Groups warn Biden-Harris; 2 Black NC men killed; Remembering Guinier, Mtume, Simon, Craig https://t.co/B2LGvgJblH via @YouTube", 
386174854,MBDigital001,2022-01-10 23:58:26+00:00,lt,0,0,0,0,Twitter for Android,@AndyOstroy James Mtume, 
203360404,SongsWithSoul,2022-01-10 23:58:02+00:00,en,0,0,0,0,dlvr.it,"James Mtume, musician and producer famously sampled by Notorious B.I.G., dies at 76 https://t.co/H1SG8Tcy6n", 
1328428962675109890,lovabledaniels_,2022-01-10 23:56:54+00:00,en,0,0,0,0,WordPress.com,"James Mtume, Jazz And R&amp;B Legend, Dead At 76 – https://t.co/crOSjUTGqN https://t.co/TdRGrLuybn", 
246448598,BC_BAIC,2022-01-10 23:56:34+00:00,en,5,0,0,2,Twitter for iPhone,"Rest In Peace James “Mtume” Forman a jazz and R&amp;B musician songwriter, record producer, activist, and radio personality. #restinpeace #jazzmusic #jamesmtume #boston #bc_baic https://t.co/HVFrfcCQ9o",bc_baic
2957228386,DeviousD3,2022-01-10 23:56:23+00:00,en,0,0,0,0,Twitter for iPhone,https://t.co/aePPtazaEW Mtume - juicy fruit ( classic tune ) 🔥, 
905538424005943296,Jazz247GBH,2022-01-10 23:54:36+00:00,und,1,0,0,0,Twitter Web App,#RIP @jamesmtumelive https://t.co/hKfnlOWAx6,RIP
1079886570671534080,nycpa,2022-01-10 23:53:42+00:00,en,3,0,0,1,Twitter for iPhone,"While James Mtume’s death is a loss for us all, his music will continue to comfort, uplift, and move the people who hear it.

He left an indelible mark on the community as a musician, an activist, a producer, and a personality, and he will be greatly missed. https://t.co/DePYjtpCw1", 
1480599342486589441,VirasthNews,2022-01-10 23:53:20+00:00,en,0,0,0,0,WordPress.com,"James Mtume, ‘Juicy Fruit’ artist and R&amp;B musician, dead at 76 https://t.co/48gCXMSrVi", 
15962388,ElliottWilson,2022-01-10 23:53:15+00:00,lt,31,4,2,13,Twitter Web App,MTUME 🙏https://t.co/IJAQhl78ff #TIDAL https://t.co/rwUOmfmaez,TIDAL
