author id,username,created_at,lang,like_count,quote_count,reply_count,retweet_count,source,tweet,hashtags
369455867,EEKKBB,2021-09-21 23:58:43+00:00,en,0,0,0,0,Twitter Web App,"Richard H Kirk, co-founder of Cabaret Voltaire, RIP https://t.co/L1djM5vXJd", 
45341566,robinince,2021-09-21 23:58:22+00:00,en,17,0,1,2,Twitter Web App,"""They didn’t want to change the world; they just wanted to make Sheffield strange."" https://t.co/jLIFiXGSjc", 
1561524319,TheMusicTimes,2021-09-21 23:54:32+00:00,en,0,0,0,0,dlvr.it,Mystery Behind Richard H. Kirk Cause of Death: Did He Die of Covid or Other Health Issue? https://t.co/dlslasAvK2, 
1.081E+18,itzzzellle,2021-09-21 23:54:31+00:00,ht,0,0,0,0,Twitter for Android,"RIP, Richard H. Kirk", 
1926507793,Pontwo200,2021-09-21 23:52:04+00:00,ja,1,0,0,0,Twitter for iPhone,"Cabaret Voltaire * Product Patrol https://t.co/dIbnrO0S5j 

これは好きだった。RIP Richard H Kirk", 
26983967,Steve_J_Barrett,2021-09-21 23:51:09+00:00,en,1,0,0,0,Twitter for iPhone,"RIP Richard H. Kirk, a true musical innovator. Loved @cabaretvoltaire", 
20060007,soundclamp,2021-09-21 23:50:43+00:00,und,0,0,0,0,Tweetbot for iΟS,https://t.co/BYLj6EsLmO, 
20060007,soundclamp,2021-09-21 23:49:59+00:00,da,1,0,2,0,Tweetbot for iΟS,For Richard H Kirk. https://t.co/6bGtF7s43b, 
1.24167E+18,vuchagaly,2021-09-21 23:48:07+00:00,en,0,0,0,0,Twitter for iPhone,"Richard H Kirk, founding member of Cabaret Voltaire, dies aged 65 | Music | The Guardian https://t.co/CKQ11Rf46D", 
123324702,Bert_Hancock,2021-09-21 23:47:54+00:00,en,2,0,0,0,Twitter for Android,"RIP Richard H Kirk
Cabaret Voltaire could lay down the funk. 

https://t.co/kUXtOlGbEy", 
