author id,username,created_at,lang,like_count,quote_count,reply_count,retweet_count,source,tweet,hashtags
9.40289E+17,Diogenesquely,2021-12-08 23:59:42+00:00,en,1,0,0,0,Twitter for Android,RIP Robbie Shakespeare 😔💓 https://t.co/9e1CLlG7IK, 
2810762713,KT66_Designer,2021-12-08 23:59:38+00:00,en,0,0,0,0,Twitter Web App,"Rest in Peace Legend.
Rest in Peace Robbie Shakespeare 🕯️

🇯🇲#SlyAndRobbie - Assault on Station 5 (Revolution)
🎧#Dub
https://t.co/Txw3ZsvCNf",Dub
200330388,lukesmorgan,2021-12-08 23:59:10+00:00,en,2,0,0,0,Twitter for iPhone,What Robbie Shakespeare one half of one of reggae great duo Sly &amp; Robbie has done for reggae music will never be forgotten. #RobbieShakespeare #NeverForgotten 💔💔💔,NeverForgotten
118543851,AdemarDanilo,2021-12-08 23:59:05+00:00,pt,14,0,1,0,Twitter for iPhone,"Notícia triste para o reggae: o músico jamaicano Robbie Shakespeare morreu hoje. Foi uma das almas do ritmo.
Seu instrumento era o contrabaixo: a base, o eixo, a substância, a pulsação do reggae. Formava a mais célebre dupla rítmica do planeta: Sly &amp; Robbie.
Siga em paz, gigante. https://t.co/8impuaKL6R", 
120375508,ecodaren,2021-12-08 23:59:00+00:00,en,0,0,0,0,Twitter for Android,Robbie Shakespeare has died https://t.co/TS0juLVJ0d, 
285901764,TruthspeakerHQ,2021-12-08 23:58:46+00:00,en,33,1,2,4,Twitter for iPhone,"Rest In Power Robbie Shakespeare 

Pure genius, crystallized through art

Condolences to family and friends", 
33402204,acloserlisten,2021-12-08 23:58:41+00:00,en,2,0,0,0,Twitter for iPhone,"Robbie Shakespeare Has Died, Aged 68 https://t.co/OCO8OTaKhn", 
83317000,currymania,2021-12-08 23:58:31+00:00,en,1,0,0,1,Twitter Web App,Robbie Shakespeare of Sly and Robbie fame has died https://t.co/8p6TytVmWg, 
314525937,Saellite,2021-12-08 23:58:28+00:00,fr,2,0,0,1,Instagram,Une légende de plus brille aux côtés des étoiles Robbie Shakespeare de Sly and robbie musiciens hors pairs du reggae bon voyage 👋🏾 https://t.co/QgkrtVP9nV, 
83132507,RickdeRuiter,2021-12-08 23:58:07+00:00,en,1,0,0,0,Twitter for iPad,Robbie Shakespeare overleden. https://t.co/hQn84Nd9Wi, 
90351802,GustavoTurnerX,2021-12-08 23:57:57+00:00,en,4,0,0,1,TweetDeck,"Robbie Shakespeare was the heartbeat of reggae, and of some of the best sounding tracks by Gainsbourg, Dylan, Grace Jones Yoko, etc.

A real master of the craft: https://t.co/5YdDBZy51E", 
3096702665,jenkers_en,2021-12-08 23:57:49+00:00,en,0,0,0,0,Jenkers Eng Posting,"Robbie #Shakespeare, of Sly and Robbie fame, dies at age 68 https://t.co/NQQRafeP18",Shakespeare
120375508,ecodaren,2021-12-08 23:57:38+00:00,en,0,0,0,0,Twitter for Android,"Robbie Shakespeare, of Sly and Robbie fame, dies at age 68 | Music | The Guardian https://t.co/mi2mCooe83", 
309611281,celia_irvine,2021-12-08 23:57:23+00:00,en,1,0,0,0,Twitter Web App,"Robbie Shakespeare, of Sly and Robbie fame, dies at age 68 https://t.co/sM6WEZYbKU", 
1272747948,torysmasher,2021-12-08 23:57:18+00:00,en,0,0,0,0,Twitter Web App,"Robbie Shakespeare, of Sly and Robbie fame, dies at age 68 

The Jamaican Grammy-winning bassist was part of the duo with Sly Dunbar and worked with such artists as Mick Jagger and Grace Jones

https://t.co/DxWBtRhRQn", 
179207998,ReggaeReport,2021-12-08 23:56:46+00:00,en,2,0,1,1,Twitter Web App,"Sad to report the passing of Reggae great, prolific bassist Robbie Shakespeare. Half of the riddim duo Sly &amp; Robbie, Robbie played with/produced many of the best in Hip Hop Rock Soul &amp; Alternative. Your musical legacy lives forever. Read my interview here 
https://t.co/RFYc3lyKSC https://t.co/MzUbaecvyP", 
773432857,ShakaRaSpeaks,2021-12-08 23:56:33+00:00,en,4,0,0,0,Twitter for Android,"Wow. RIP Robbie Shakespeare of the legendary Sly &amp; Robbie. Sad news.

🙏🏿❤️🖤💚", 
200330388,lukesmorgan,2021-12-08 23:56:30+00:00,en,1,0,0,0,Twitter for iPhone,R.I.P to the legendary Robbie Shakespeare. 💔💔💔, 
284357979,therealkranium,2021-12-08 23:55:52+00:00,en,87,0,1,9,Twitter for iPhone,Rip to the legendary Robbie Shakespeare 🕊, 
612006844,bodygod2go,2021-12-08 23:55:41+00:00,en,3,0,0,0,Twitter for iPhone,RIP Robbie Shakespeare, 
26116928,Conqueroo1,2021-12-08 23:55:39+00:00,en,4,2,1,1,Twitter Web App,Reggae legend Robbie Shakespeare of Sly &amp; Robbie has died https://t.co/dj7aqEQpxO @brooklynvegan, 
529271953,paul_devanney,2021-12-08 23:55:23+00:00,en,0,0,0,0,Twitter for Android,RIP Robbie Shakespeare, 
788524,guardiannews,2021-12-08 23:55:08+00:00,en,41,12,4,16,Echobox,"Robbie Shakespeare, of Sly and Robbie fame, dies at age 68 https://t.co/fswoLsssMK", 
7.76537E+17,_OriolS,2021-12-08 23:54:57+00:00,ca,1,0,0,0,Twitter Web App,"També ha mort Robbie Shakespeare, la meitat d'una de les seccions rítmiques més essencials de la música jamaicana.

https://t.co/YNBeP5fe9P", 
93807915,Jonti_Danimals,2021-12-08 23:54:56+00:00,en,11,0,0,0,Twitter for iPhone,Paying respect to one of the best to ever do it. Thank you Robbie Shakespeare ❤️👑 https://t.co/lN6RFQKgUh, 
23795899,JimWalshMPLS,2021-12-08 23:54:46+00:00,en,35,0,1,3,Twitter for iPhone,This was an amazing night at ⁦@FirstAvenue⁩. Thanks and RIP Robbie Shakespeare. https://t.co/5WXays85D0, 
1.31643E+18,Gerosa_Records,2021-12-08 23:54:32+00:00,en,0,0,0,0,Instagram,"R.I.P.
Robbie Shakespeare @ Gerosa Records https://t.co/g4P8hFHdFc", 
