author id,username,created_at,lang,like_count,quote_count,reply_count,retweet_count,source,tweet,hashtags
83859834,praisecharlotte,2021-12-07 23:58:10+00:00,en,0,0,0,0,Social Flow - Urban 1,‘Godfather Of Hip-Hop Journalism’ and Burnt Sugar Frontman Greg Tate Dies At 64 https://t.co/d8HyJAaR3Y, 
763262506026401793,kurtiveson,2021-12-07 23:57:49+00:00,en,1,0,0,0,Twitter Web App,Far out ... Rest in Power. Greg Tate's writing about music and culture was life-changing for me when I encountered it (a copy of Flyboy in the Buttermilk from @Gleebooks many years ago now). And Burnt Sugar kick ass. https://t.co/lEuYSbLIom via @pitchfork, 
61228972,at149st,2021-12-07 23:56:37+00:00,en,3,0,0,1,Twitter Web App,"Greg Tate, a powerful chronicler and critic of Black life and culture, has died at 64 https://t.co/e6jVFNf1IL", 
2233956248,TheMichaelShore,2021-12-07 23:56:26+00:00,en,2,0,0,0,Twitter Web App,"RIP Greg Tate -- Gregory ""Ironman"" Tate, as I can still see his old Village Voice bylines, to me (Tetragrammaton, anyone?) -- an inspirational, innovative, one of a kind writer.  64?   Waaaaaaaay too soon.  Damn. https://t.co/gUfVj0Ftiq", 
1446046110397739010,TutaCoin,2021-12-07 23:55:51+00:00,en,0,0,0,0,FS-Poster APP,"Critic, author and musician Greg Tate has died : NPR
https://t.co/bXEuFDkdo5", 
78404888,PraiseCleveland,2021-12-07 23:55:39+00:00,en,0,0,0,0,SocialFlow,‘Godfather Of Hip-Hop Journalism’ and Burnt Sugar Frontman Greg Tate Dies At 64 https://t.co/7SHLyAV7sj, 
79034142,jmlopes2,2021-12-07 23:54:30+00:00,en,0,0,0,0,Twitter Web App,"Uma perda enorme. RIP. 

Greg Tate, Groundbreaking Cultural Critic and Black Rock Coalition Co-Founder, Has Died https://t.co/6AYNo6U8PW via @RollingStone", 
14560657,ckoh,2021-12-07 23:54:29+00:00,en,1,0,0,0,Twitter for iPhone,RIP Greg Tate - I loved his writing in the Voice &amp; Flyboy in the Buttermilk, 
24373764,profkakie,2021-12-07 23:54:09+00:00,en,1,0,0,0,Twitter Web App,"Greg Tate, Groundbreaking Cultural Critic and Black Rock Coalition Co-Founder, Has Died RIP. Taught me so much. https://t.co/evV1cLGYjI via @RollingStone", 
1213451223682019328,FlyFidelity,2021-12-07 23:54:07+00:00,en,8,0,0,2,Twitter for Android,"Greg Tate, the godfather of hip hop criticism has died 💔🕊 A giant who's contribution and impact cannot be described with words https://t.co/1lzVc5cw6X", 
